ID,Name,Phone,Room,Hostel
49,Kiran Verma,8388414914,112,AH-4
50,Anjali Ghosh,8630002068,108,AH-2
51,Deepak Khaitan,6615121220,214,AH-1
52,Bhavya Das,8849710196,207,AH-4
53,Bhavya Ruparelia,6104308956,111,AH-3
54,Amit Dudhiyawala,6265062809,104,AH-3
55,Neha Bajaj,6432412282,311,AH-4
56,Rahul Joshi,7345047054,120,AH-1
57,Sanjay Tanwar,7584256113,201,AH-4
58,Bhavya Sharma,9918769022,317,AH-4
59,Deepak Das,8443864690,101,AH-2
60,Darsh Ghosh,9589762678,109,AH-2
61,Deepak Iyer,9504121012,103,AH-1
62,Deepak Khaitan,8256539733,211,AH-2
63,Kiran Khaitan,9630895821,115,AH-4
64,Manit Sharma,7096357299,118,AH-2
65,Manit Das,7046652196,315,AH-3
66,Manit Khaitan,6187170082,111,AH-1
67,Ananya Joshi,6330780761,119,AH-2
68,Neha Verma,8376991905,109,AH-4
69,Ananya Tanwar,8117951591,219,AH-4
70,Neha Dudhiyawala,9543591347,313,AH-3
71,Anjali Das,7500950157,209,AH-1
72,Abbas Ghosh,9215449194,119,AH-4
73,Rahul Verma,9767999387,319,AH-4
74,Abbas Singh,8728752952,320,AH-4
75,Neha Iyer,7196329783,211,AH-4
76,Ramesh Nair,6035497352,217,AH-2
77,Darsh Tanwar,8229122116,306,AH-1
78,Abbas Tanwar,7948958103,208,AH-4
79,Manit Das,7231215224,307,AH-2
80,Anjali Khaitan,9194040784,319,AH-1
81,Bhavya Ruparelia,8132712894,218,AH-1
82,Kiran Nair,9989116439,316,AH-1
83,Bhavya Iyer,9736987077,204,AH-4
84,Abbas Bajaj,7385689689,309,AH-2
85,Priya Sharma,6381802902,307,AH-4
86,Darsh Iyer,6391418743,209,AH-2
87,Bhavya Ruparelia,9160012138,219,AH-1
88,Rahul Das,6051859726,320,AH-2
89,Bhavya Bajaj,8253523578,313,AH-4
90,Kiran Ghosh,8706278089,206,AH-4
91,Anjali Sharma,6308470985,304,AH-2
92,Ananya Sharma,7558909057,107,AH-3
93,Darsh Tanwar,8023105242,113,AH-1
94,Amit Dudhiyawala,6494780444,216,AH-1
95,Manit Patel,7987517434,212,AH-2
96,Amit Verma,7542913575,105,AH-3
97,Darsh Dudhiyawala,6320109351,117,AH-3
98,Manit Bajaj,6729581956,110,AH-2
99,Bhavya Patel,7408485052,212,AH-3
100,Manit Kumar,7423059953,320,AH-3
101,Deepak Joshi,6782166951,210,AH-1
102,Darsh Sharma,7893072415,201,AH-1
103,Ramesh Kumar,8011301807,218,AH-4
104,Neha Tanwar,6446138557,119,AH-3
105,Amit Das,7197469623,112,AH-1
106,Ramesh Nair,7771618988,102,AH-2
107,Bhavya Joshi,6240538743,220,AH-2
108,Darsh Das,8300819866,308,AH-2
109,Priya Sharma,6908225774,317,AH-2
110,Amit Sharma,6915227338,115,AH-1
111,Amit Das,6920760372,105,AH-4
112,Amit Verma,6453933625,215,AH-1
113,Rahul Bajaj,7170789527,116,AH-2
114,Kiran Khaitan,6985966611,114,AH-4
115,Ananya Nair,9281876381,203,AH-4
116,Abbas Ghosh,7257579214,219,AH-3
117,Manit Joshi,9697205147,303,AH-2
118,Neha Nair,9850802412,312,AH-4
119,Amit Tanwar,7476834598,210,AH-3
120,Sanjay Dudhiyawala,8047436670,307,AH-1
121,Darsh Joshi,7882098902,314,AH-4
122,Sanjay Dudhiyawala,9166729685,316,AH-4
123,Kiran Nair,9474887262,309,AH-1
124,Deepak Bajaj,9403574211,215,AH-3
125,Ananya Singh,6804367144,217,AH-3
126,Priya Verma,8519116653,104,AH-2
127,Deepak Khaitan,8772045143,314,AH-1
128,Kiran Ghosh,8485454306,213,AH-1
129,Darsh Ruparelia,8916687873,120,AH-2
130,Darsh Dudhiyawala,7366834943,114,AH-1
131,Ramesh Khaitan,6263790858,201,AH-2
132,Abbas Iyer,8685441300,202,AH-2
133,Ramesh Kumar,6618786912,104,AH-1
134,Anjali Kumar,6349501822,114,AH-3
135,Rahul Iyer,7937882041,307,AH-3
136,Sanjay Joshi,9682875467,105,AH-2
137,Kiran Kumar,8361429301,304,AH-3
138,Priya Kumar,8951229568,301,AH-4
139,Rahul Joshi,9661452550,217,AH-4
140,Neha Das,9542474699,311,AH-1
141,Neha Khaitan,9195435487,310,AH-4
142,Amit Das,6784034823,206,AH-3
143,Kiran Tanwar,8341468078,102,AH-4
144,Abbas Dudhiyawala,9822984075,302,AH-3
145,Deepak Singh,8581493741,103,AH-2
146,Kiran Sharma,8220083180,215,AH-4
147,Sanjay Kumar,7831547300,220,AH-4
148,Priya Joshi,6016023082,211,AH-1
149,Darsh Das,7318069911,208,AH-1
150,Bhavya Iyer,6412153336,306,AH-2
151,Manit Ruparelia,9573040078,117,AH-1
152,Ananya Ruparelia,8575556373,210,AH-2
153,Anjali Verma,6781003725,109,AH-1
154,Bhavya Ruparelia,6503909119,318,AH-4
155,Rahul Kumar,8106736123,106,AH-2
156,Deepak Singh,8016853726,110,AH-4
157,Deepak Verma,8994801356,302,AH-1
158,Ananya Ruparelia,6664873545,108,AH-1
159,Ananya Nair,9564465140,306,AH-4
160,Deepak Tanwar,6789999711,116,AH-4
161,Priya Singh,6953790709,304,AH-4
162,Darsh Bajaj,7840868239,106,AH-3
163,Bhavya Iyer,8756583971,108,AH-4
164,Sanjay Das,7191647700,115,AH-2
165,Bhavya Ghosh,8270110383,102,AH-1
166,Anjali Singh,6043459126,108,AH-3
167,Anjali Nair,8769909516,310,AH-1
168,Deepak Bajaj,6677310566,202,AH-4
169,Bhavya Patel,8310622301,213,AH-3
170,Anjali Bajaj,9426685414,101,AH-3
171,Ananya Khaitan,7841568469,117,AH-4
172,Abbas Verma,8647521376,219,AH-2
173,Deepak Joshi,8530333292,213,AH-2
174,Rahul Verma,7191714116,319,AH-3
175,Kiran Verma,8823743354,218,AH-3
176,Amit Bajaj,7963398517,214,AH-4
177,Kiran Kumar,9652936233,214,AH-2
178,Ananya Bajaj,8927518854,309,AH-4
179,Ananya Iyer,9504574434,318,AH-2
180,Vikram Sharma,8020597306,203,AH-2
181,Amit Joshi,8845226735,313,AH-1
182,Ananya Ghosh,6574448796,211,AH-3
183,Bhavya Joshi,8408824934,220,AH-1
184,Kiran Singh,7732371144,208,AH-3
185,Anjali Joshi,6026088072,220,AH-3
186,Ananya Bajaj,9781856726,312,AH-3
187,Priya Bajaj,7753606950,303,AH-4
188,Ramesh Joshi,6877265061,303,AH-1
189,Ramesh Das,8096466717,308,AH-4
190,Neha Joshi,6136765223,318,AH-3
191,Kiran Khaitan,9889425095,206,AH-1
192,Priya Bajaj,8174630683,205,AH-1
193,Abbas Joshi,7215257359,203,AH-3
194,Ramesh Bajaj,9852119218,205,AH-2
195,Deepak Tanwar,9872900501,312,AH-1
196,Vikram Kumar,7130598726,313,AH-2
197,Amit Tanwar,8429564997,210,AH-4
198,Kiran Joshi,6778176617,112,AH-2
199,Amit Nair,7553724785,315,AH-1
200,Bhavya Kumar,7096177506,304,AH-1
201,Ananya Singh,7900501808,315,AH-2
202,Darsh Sharma,8342297087,215,AH-2
203,Kiran Patel,6944879995,113,AH-2
204,Manit Khaitan,8057988794,105,AH-1
205,Amit Bajaj,6386959112,212,AH-4
206,Deepak Singh,9581662471,218,AH-2
207,Rahul Dudhiyawala,6439934253,104,AH-4
208,Rahul Patel,9744470399,216,AH-2
209,Priya Patel,7001663521,118,AH-1
210,Sanjay Sharma,6603806482,206,AH-2
211,Darsh Sharma,8632789118,205,AH-3
212,Ananya Ghosh,6034184174,305,AH-3
213,Abbas Kumar,6827612829,203,AH-1
214,Abbas Singh,9430041201,107,AH-1
215,Abbas Dudhiyawala,7423043114,117,AH-2
216,Vikram Nair,8588030141,317,AH-1
217,Anjali Nair,9583612838,319,AH-2
218,Anjali Verma,6662477877,315,AH-4
219,Sanjay Tanwar,7812396854,111,AH-2
220,Ananya Das,9744939646,316,AH-3
221,Ananya Sharma,9949224949,118,AH-3
222,Manit Singh,8291451822,204,AH-1
223,Bhavya Bajaj,7976657961,109,AH-3
224,Sanjay Iyer,8214662575,217,AH-1
225,Neha Singh,7467963501,113,AH-4
226,Ramesh Khaitan,8665881928,207,AH-2
227,Vikram Das,7361701782,115,AH-3
228,Ramesh Nair,9784594327,106,AH-4
229,Anjali Joshi,7683949662,309,AH-3
230,Ramesh Ruparelia,7154295964,119,AH-1
231,Ramesh Ghosh,6705563679,308,AH-1
232,Ananya Verma,9146976846,102,AH-3
233,Neha Dudhiyawala,7612319949,213,AH-4
234,Darsh Das,7806835328,207,AH-3
235,Priya Singh,8677343292,114,AH-2
236,Darsh Patel,6238058736,316,AH-2
237,Deepak Ruparelia,7571499902,202,AH-1
238,Manit Singh,8442662354,209,AH-4
239,Darsh Nair,8036144415,101,AH-4
240,Priya Dudhiyawala,9961171482,305,AH-4
